id;name;description;code;region_id
1;contextually-based Maine Rustic Wooden Salad;Berkshire brand;Enterprise-wide cross-platform;1
2;Hat Buckinghamshire Legacy;alliance;silver Zambia value-added;2
3;Car;Manors;Cotton Dynamic Toys;3
4;Operations Graphic Interface value-added;copy envisioneer cross-platform;Hat;4
5;circuit;Frozen Costa Rica Home;Borders;5
6;ability;intangible;Sleek Wooden Keyboard Kids Concrete;6
7;Credit Card Account envisioneer;Papua New Guinea indexing solid state;Paradigm;7
8;Yuan Renminbi firewall deposit;quantifying;Analyst Locks Rustic;8
9;target grow Books;turquoise;interactive;9
10;mobile;white sexy plum;Kids virtual;10
